Código (producto),Distrito,Marca,Cantidad,Precio,Minimo,Comentario
10141,Planta Veracruz,['Generica'],0,0,0,
10142,Planta Veracruz,['Generica'],0,0,0,
10143,Planta Veracruz,['Generica'],0,0,0,
10144,Planta Veracruz,['Generica'],0,0,0,
10145,Planta Veracruz,['Generica'],0,0,0,
10146,Planta Veracruz,['Generica'],0,0,0,
10147,Planta Veracruz,['Generica'],0,0,0,
10148,Planta Veracruz,['Generica'],0,0,0,
10149,Planta Veracruz,['Generica'],0,0,0,
10150,Planta Veracruz,['Generica'],0,0,0,
10151,Planta Veracruz,['Generica'],0,0,0,
10152,Planta Veracruz,['Generica'],0,0,0,
10153,Planta Veracruz,['Generica'],0,0,0,
10154,Planta Veracruz,['Generica'],0,0,0,
10155,Planta Veracruz,['Generica'],0,0,0,
10156,Planta Veracruz,['Generica'],0,0,0,
10157,Planta Veracruz,['Generica'],0,0,0,
10158,Planta Veracruz,['Generica'],0,0,0,
10159,Planta Veracruz,['Generica'],0,0,0,
10160,Planta Veracruz,['Generica'],0,0,0,
10161,Planta Veracruz,['Generica'],0,0,0,
10162,Planta Veracruz,['Generica'],0,0,0,
10163,Planta Veracruz,['Generica'],0,0,0,
10164,Planta Veracruz,['Generica'],0,0,0,
10165,Planta Veracruz,['Generica'],0,0,0,
10166,Planta Veracruz,['Generica'],0,0,0,
10167,Planta Veracruz,['Generica'],0,0,0,
10168,Planta Veracruz,['Generica'],0,0,0,
10169,Planta Veracruz,['Generica'],0,0,0,
10171,Planta Veracruz,['Generica'],0,0,0,
10172,Planta Veracruz,['Generica'],0,0,0,
10173,Planta Veracruz,['Generica'],0,0,0,
10174,Planta Veracruz,['Generica'],0,0,0,
10175,Planta Veracruz,['Generica'],0,0,0,
10176,Planta Veracruz,['Generica'],0,0,0,
10177,Planta Veracruz,['Generica'],0,0,0,
10178,Planta Veracruz,['Generica'],0,0,0,
10179,Planta Veracruz,['Generica'],0,0,0,
10180,Planta Veracruz,['Generica'],0,0,0,
10181,Planta Veracruz,['Generica'],0,0,0,
10182,Planta Veracruz,['Generica'],0,0,0,
10183,Planta Veracruz,['Generica'],0,0,0,
10184,Planta Veracruz,['Generica'],0,0,0,
10185,Planta Veracruz,['Generica'],0,0,0,
10186,Planta Veracruz,['Generica'],0,0,0,
10187,Planta Veracruz,['Generica'],0,0,0,
10188,Planta Veracruz,['Generica'],0,0,0,
10189,Planta Veracruz,['Generica'],0,0,0,
10190,Planta Veracruz,['Generica'],0,0,0,
10191,Planta Veracruz,['Generica'],0,0,0,
10192,Planta Veracruz,['Generica'],0,0,0,
