Código;Razón
M712;El código ya existe
4206;El código ya existe
4208;El código ya existe
M713;El código ya existe
M716;El código ya existe
M717;El código ya existe
M718;El código ya existe
M720;El código ya existe
M721;El código ya existe
M722;El código ya existe
M723;El código ya existe
M724;El código ya existe
M725;El código ya existe
M727;El código ya existe
M729;El código ya existe
M730;El código ya existe
M731;El código ya existe
M733;El código ya existe
M734;El código ya existe
M735;El código ya existe
