Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
10469,MOTOR PARA VENTILADOR,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10470,BOTE MESCLADOR TRUPER 1L,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10471,ACEITERA CON APLICADOR FLEXIBLE TRUPER,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10472,FILTRO DE GASOLINA GG-183,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10473,MOTOR LIMPIA PARABRISAS,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10474,FILTRO PARA ACEITE GONHER,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10475,FILTRO PARA ACEITE LTH,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10476,BOBINA DE ENCENDIDO 12V,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10477,"FILTRO DE PULVERIZACIÓN DE NAILON DE MALLA FINA PARA COCHE,FILTRO PARA PULVERIZADORES DE PINTURA MOD 525",PIEZA,ACCESORIOS,,NO,SI,NO,NO
10478,TAZA DE PLASTICO 1L,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10479,FILTRO BALDWING PF7779,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10480,BOBINA DE ENCENDIDO VALUCRAFT,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10481,LIMPIADOR DE INYECTORES PARA BOYA GONHER,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10482,FILTRO DE COMBUSTIBLE G10166,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10483,ESPEJO LATERAL PARA COCHE,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10484,FILTRO DE COMBUSTIBLE FRAM G8018,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10485,FILTRO BALDWING B7177,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10486,KIT DE LUCES DIRECCIONALES,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10487,LAMPARA DE LUZ LED,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10488,MANGUERA DE PRESOSTATO,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10489,HULE DE ESTRELLA,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10490,VALVULA DE PROTECCIÓN,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10491,MOSQURTON DE ROSCA TIPO D,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10492,LINEA DE VIDA RETRACTIL,PIEZA,ACCESORIOS,,NO,SI,NO,NO
10493,CABLE LUSA ROJO THW CAL.14,PIEZA,ELECTRICO,,NO,SI,NO,NO
10495,TORNILLO HEXAGONAL G2 CUERDA CORRIDA 24H 3/16 X 1,PIEZA,TORNILLERIA,,NO,SI,NO,NO
10496,"TORNILLO HEXAGONAL 1"" X 4""  AC G5 UNF ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10497,"TORNILLO HEX 3/8"" X 2"" AC G5",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10498,"TORNILLLO HEX 3/4"" X 3 1/2"" GLAV SIN GRADO",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10499,"TORNILLO ALLEN GALV 3/8"" X 3/4""",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10500,ARANDELA PLANA G2 GALVANIZADA,PIEZA,TORNILLERIA,,NO,SI,NO,NO
10501,PLANA ALLEN INOX 1,PIEZA,TORNILLERIA,,NO,SI,NO,NO
10502,"BURNDY KA4C KA- LUG TERMINAL, 14 SOL CONDUCTOR DE 4 HEBRAS",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10503,"BISAGRA TUBULAR DE 1/2"" ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10504,"TORNILLO ALLEN 1/4"" X 1"" GALV",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10505,"OPRESOR 3/4"" X 1/2""",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10506,"TORNILLO ALLEN 3/16""  X 1"" GALV ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10507,"GRASERA 3/8"" A 90° ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10508,"GRASERA RECTA 1/4 NPT"" ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10509,"TORNILLO HEX 5/8"" X 4"" LONG AC S/GRADO",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10510,"TORNILLO HEX 7/16"" X 4 3/4"" AC SIN GRADO",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10511,"ARANDELA PLANA  1 13/16"" AC ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10512,"TORNILLO HEX 9/16"" X 5"" LONG AC G5",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10513,"TUERCA 1"" UNF AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
