Código (producto),Distrito,Almacen,Ubicación,Estante,Cantidad,Precio,Minimo,Comentario
M008,Planta Veracruz,Motos,CONTENEDOR,A-1,46,98.58,0,23/10/2023 UHG
M009,Planta Veracruz,Motos,CONTENEDOR,A-1,22,50.10,0,23/10/2023 UHG
M010,Planta Veracruz,Motos,CONTENEDOR,B-1,73,75.15,0,23/10/2023 UHG
M011,Planta Veracruz,Motos,CONTENEDOR,B-2,43,69.00,0,23/10/2023 UHG
M012,Planta Veracruz,Motos,CONTENEDOR,B-1,40,175.00,0,23/10/2023 UHG
M013,Planta Veracruz,Motos,CONTENEDOR,B-2,44,71.94,0,23/10/2023 UHG
M014,Planta Veracruz,Motos,CONTENEDOR,B-3,5,474.14,0,23/10/2023 UHG
M015,Planta Veracruz,Motos,CONTENEDOR,K-4,225,12.00,0,23/10/2023 UHG
M016,Planta Veracruz,Motos,CONTENEDOR,L-4,269,15.00,0,23/10/2023 UHG
M017,Planta Veracruz,Motos,CONTENEDOR,C-4,80,10.00,0,23/10/2023 UHG
M018,Planta Veracruz,Motos,CONTENEDOR,C-4,399,35.65,0,23/10/2023 UHG
M019,Planta Veracruz,Motos,CONTENEDOR,B-4,270,35.65,0,23/10/2023 UHG
M020,Planta Veracruz,Motos,CONTENEDOR,C-1,108,206.89,0,23/10/2023 UHG
M021,Planta Veracruz,Motos,CONTENEDOR,C-1,4,190.24,0,23/10/2023 UHG
M022,Planta Veracruz,Motos,CONTENEDOR,C-2 / D-2,82,830.85,0,23/10/2023 UHG
M023,Planta Veracruz,Motos,CONTENEDOR,D-1,24,167.96,0,23/10/2023 UHG
M024,Planta Veracruz,Motos,CONTENEDOR,D-3 /E-3 /F-3,33,913.43,0,23/10/2023 UHG
M025,Planta Veracruz,Motos,CONTENEDOR,F-2,27,211.96,0,23/10/2023 UHG
M026,Planta Veracruz,Motos,CONTENEDOR,E-2,2,211.96,0,23/10/2023 UHG
M027,Planta Veracruz,Motos,CONTENEDOR,E-1,112,202.33,0,23/10/2023 UHG
M028,Planta Veracruz,Motos,CONTENEDOR,F-1,26,315.00,0,23/10/2023 UHG
M029,Planta Veracruz,Motos,CONTENEDOR,G-1,29,170.20,0,23/10/2023 UHG
M030,Planta Veracruz,Motos,CONTENEDOR,H-1,16,93.78,0,23/10/2023 UHG
M031,Planta Veracruz,Motos,CONTENEDOR,H-1,2,295.72,0,23/10/2023 UHG
M032,Planta Veracruz,Motos,CONTENEDOR,G-3,16,1465.43,0,23/10/2023 UHG
M033,Planta Veracruz,Motos,CONTENEDOR,G-2,12,64.23,0,23/10/2023 UHG
M034,Planta Veracruz,Motos,CONTENEDOR,G-2,35,50.42,0,23/10/2023 UHG
M035,Planta Veracruz,Motos,CONTENEDOR,H-2,34,404.66,0,23/10/2023 UHG
M036,Planta Veracruz,Motos,CONTENEDOR,I-2,123,6.21,0,23/10/2023 UHG
M037,Planta Veracruz,Motos,CONTENEDOR,I-3,41,21.52,0,23/10/2023 UHG
M038,Planta Veracruz,Motos,CONTENEDOR,I-2,174,30.17,0,23/10/2023 UHG
M039,Planta Veracruz,Motos,CONTENEDOR,I-2,108,95.00,0,23/10/2023 UHG
M040,Planta Veracruz,Motos,CONTENEDOR,I-3,7,250.00,0,23/10/2023 UHG
M041,Planta Veracruz,Motos,CONTENEDOR,I-3,20,16.43,0,23/10/2023 UHG
M042,Planta Veracruz,Motos,CONTENEDOR,I-3,24,1.93,0,23/10/2023 UHG
M043,Planta Veracruz,Motos,CONTENEDOR,I-3,32,1.93,0,23/10/2023 UHG
