Código (producto),Distrito,Almacén,Ubicación,Estante,Marca,Cantidad,Precio,Minimo,Comentario
13,Planta Veracruz,Petroleras,AL1,B-1,['Generica'],40, $73.40 ,0,NA
14,Planta Veracruz,Petroleras,AL1,B-1,['Generica'],20, $64.78 ,0,NA
15,Planta Veracruz,Petroleras,AL1,B-1,['Generica'],30, $91.65 ,0,NA
455,Planta Veracruz,Petroleras,AL1,B-1,['Generica'],5, $46.42 ,0,NA
717,Planta Veracruz,Petroleras,AL1,B-1,['Generica'],6," $1,136.26 ",0,NA
12,Planta Veracruz,Petroleras,AL1,B-2,['Generica'],75, $89.39 ,0,NA
154,Planta Veracruz,Petroleras,AL1,B-2,['Generica'],3, $964.65 ,0,NA
2340,Planta Veracruz,Petroleras,AL1,B-2,['Generica'],5, $75.60 ,0,NA
5396,Planta Veracruz,Petroleras,AL1,B-2,['Generica'],5, $68.10 ,0,NA
565,Planta Veracruz,Petroleras,AL1,C-1,['Generica'],2, $810.14 ,0,NA
757,Planta Veracruz,Petroleras,AL1,C-1,['Generica'],42, $105.47 ,0,NA
956,Planta Veracruz,Petroleras,AL1,C-1,['Generica'],21, $85.00 ,0,NA
1654,Planta Veracruz,Petroleras,AL1,C-1,['Generica'],2," $1,000.00 ",0,NA
2753,Planta Veracruz,Petroleras,AL1,C-1,['Generica'],1, $104.89 ,0,NA
351,Planta Veracruz,Petroleras,AL1,D-1,['Generica'],2," $1,395.74 ",0,NA
970,Planta Veracruz,Petroleras,AL1,D-1,['Generica'],1, $652.50 ,0,NA
381,Planta Veracruz,Petroleras,AL1,D-2,['Generica'],4, $280.17 ,0,NA
414,Planta Veracruz,Petroleras,AL1,D-2,['Generica'],21, $513.99 ,0,NA
704,Planta Veracruz,Petroleras,AL1,D-2,['Generica'],6, $317.90 ,0,NA
2251,Planta Veracruz,Petroleras,AL1,D-2,['Generica'],5, $688.79 ,0,NA
