Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
10170,SELLO AQ-MAQ 8.000 X 7.160 X 0.375 EN TEFLON NIQUEL,PIEZA,SELLOS,,False,True,False,False
10171,SELLO F-4-MAQ  7.750 X 8.000 X 0.250 EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10172,BANDA DE DESGASTE 5.000 x 1.000 x 0.125,PIEZA,SELLOS,,False,True,False,False
10173,O-RING 2-443 NBR-70/ OR 7.500 x 8.000 x 0.275,PIEZA,SELLOS,,False,True,False,False
10174,B. UP RING 8-443 NBR/BU 7.500 x 8.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10175,O-RING 2-265 NBR-70/ OR 7.750 x 8.000 x 0.139,PIEZA,SELLOS,,False,True,False,False
10176,B. UP RING 8-265 NBR/BU 7.750 x 8.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10177,O-RING 2-441 NBR-70/ OR 7.000 x 7.500 x 0.275,PIEZA,SELLOS,,False,True,False,False
10178,R/P-SEAL AU/NBR/RP 2.500 X 2.875 X 0.413 (PTB187-2500-375-J1S),PIEZA,SELLOS,,False,True,False,False
10179,R/P-SEAL AU/NBR/RP 2.500 x 3.125 x 0.413 (PTB312-2500-375-J1S),PIEZA,SELLOS,,False,True,False,False
10180,R. WIPER - AU/ STEEL/ RW 1.500 x 2.000 x 0.312,PIEZA,SELLOS,,False,True,False,False
10181,R/P SEAL AU/ NBK/ RP 1.500 x 1.875 x 0.375 CON O-RING DE 3 MM,PIEZA,SELLOS,,False,True,False,False
10182,O-RING 2-228 NBR-70/ OR 2.250 X 2.500 X 0.139,PIEZA,SELLOS,,False,True,False,False
10183,B. UP RING 8-228 NBR/BU 2.250 X 2.500 SOLID,PIEZA,SELLOS,,False,True,False,False
10184,O-RING 2-240 NBR-70/ OR 3.750 X 4.000 X 0.139,PIEZA,SELLOS,,False,True,False,False
10185,B. UP RING 8-240 NBR/BU 3.750 X 4.000 SOLID,PIEZA,SELLOS,,False,True,False,False
10186,SELLO AQ-MAQ 3.584 X 4.000 X 0.288 EN TEFLON NIQUEL,PIEZA,SELLOS,,False,True,False,False
10187,SELLO F-4 MAQ 3.750 X 4.000 X 0.250 EN TEFLON BRONCE,PIEZA,SELLOS,,False,True,False,False
10188,BANDA DE DESGASTE 4.000 x 0.750 x 0.125,PIEZA,SELLOS,,False,True,False,False
10189,BANDA DE DESGASTE 3.500 x 1.000 x 0.125,PIEZA,SELLOS,,False,True,False,False
10190,O-RING 2-348 NBR-70/ OR 4.350 X 4.750 X 0.210,PIEZA,SELLOS,,False,True,False,False
10191,B. UP RING 8-348 NBR/BU 4.350 X 4.750 SOLID,PIEZA,SELLOS,,False,True,False,False
10192,O-RING 2-222 NBR-70/ OR 1.500 X 1.750 X 0.139,PIEZA,SELLOS,,False,True,False,False
