Código (producto),Distrito,Almacén,Ubicación,Estante,Cantidad,Precio,Minimo,Comentario
877,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
878,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
879,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
880,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
881,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
882,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
883,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
884,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
885,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
886,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
892,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
894,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
895,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
897,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
899,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
901,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
904,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
906,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
907,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
909,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
910,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
911,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
914,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
916,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
917,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
919,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
923,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
926,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
927,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
928,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
929,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
930,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
931,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
932,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
933,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
934,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
935,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
936,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
938,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
942,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
943,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
944,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
945,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
946,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
947,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
948,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
949,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
950,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
951,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
952,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
953,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
954,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
955,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
957,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
958,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
959,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
960,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
961,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
962,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
963,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
964,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
965,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
966,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
967,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
968,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
969,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
971,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
972,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
974,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
975,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
982,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
983,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
984,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
985,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
986,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
989,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
990,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
991,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
992,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
993,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
994,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
995,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
996,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1003,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1007,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1008,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1009,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1012,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1013,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1014,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1016,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1018,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1019,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1021,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1022,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1024,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1026,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1033,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1036,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1037,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1047,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1050,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1051,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1052,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1053,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1056,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1059,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1061,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1063,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1064,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1065,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1066,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1067,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1068,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1071,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1072,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1073,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1074,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1075,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1078,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1079,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1084,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1085,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1086,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1087,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1090,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1091,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1092,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1097,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1098,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
1099,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
