Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
1,"DISCO DE CORTE 1/16 DE 7""..",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
2,"DISCO DE CORTE 1/8 DE 4 1/2"".",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
3,"DISCO DE CORTE 1/4"" DE 4 1/2"".",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
4,ANTISALPICADURAS.,PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
5,"PLACA 1"" X 3' X 3'.",PIEZA,ESTRUCTURAL,GENERICO,NO,SI,SI,NO
6,"DISCO LAMINADO DE 7"".",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
7,"DISCO LAMINADO DE 4 1/2""..",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
8,GUANTES DE ALGODÓN PUNTOS DE PVC.,PAR,EPP,GENERICO,NO,SI,SI,NO
9,LENTES DE SEGURIDAD OSCUROS.,PIEZA,EPP,GENERICO,NO,SI,SI,NO
10,MICA PARA PROTECTOR FACIAL.,PIEZA,EPP,GENERICO,NO,SI,SI,NO
11,"PLACA 3/4"" X 4FT X 5FT ASTM A36.",PIEZA,ESTRUCTURAL,GENERICO,NO,SI,SI,NO
12,SOLDADURA 1/8 6011.,KG,CONSUMIBLE,GENERICO,NO,SI,SI,NO
13,SOLDADURA 1/8 6013.,KG,CONSUMIBLE,GENERICO,NO,SI,SI,NO
14,SOLDADURA 1/8 7018.,KG,CONSUMIBLE,GENERICO,NO,SI,SI,NO
15,SOLDADURA 3/32 7018.,KG,CONSUMIBLE,GENERICO,NO,SI,SI,NO
16,TIZA.,PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
17,24FP-24FPX.,PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
18,32FP-32FPX.,PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
19,ESCALIMETRO.,PIEZA,HERRAMIENTA,GENERICO,NO,SI,SI,NO
20,"CINTA TEFLON 1"".",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
21,"FLANGE 2 1/2"" COD. 61.",PIEZA,ACCESORIOS,GENERICO,NO,SI,SI,NO
22,"FLANGE 2"" COD. 61 C/4 TORNILLOS Y O-RING.",PIEZA,ACCESORIOS,GENERICO,NO,SI,SI,NO
23,LENTES DE SEGURIDAD CLAROS..,PIEZA,EPP,GENERICO,NO,SI,SI,NO
24,"NIPLE 2"" X 2"" RC CED.80.",PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
25,"VALVULA DE BOLA 1 1/2"" #3000.",PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
26,PIEDRA DE DESBASTE CONICA R18.,PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
27,ACETILENO.,PIEZA,GASES,GENERICO,NO,SI,SI,NO
28,TUBO PVC .,LTS,CONSUMIBLE,GENERICO,NO,SI,SI,NO
29,24MB-24FPX.,PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
30,OXIGENO.,PIEZA,GASES,GENERICO,NO,SI,SI,NO
31,NITROGENO.,PIEZA,GASES,GENERICO,NO,SI,SI,NO
32,"TAPON MACHO 1/4"" NPT #3000.",PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
33,TEFLON LIQUIDO 5113 473 ML.,PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
34,"DISCO DE DESBASTE 1/4 DE 7"".",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
35,32MP-32FPX.,PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
36,6MP-6FPX.,PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
37,"TAPON MACHO 3/8"" NPT #3000.",PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
38,"FLAPPER CON VASTAGO 2"".",PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
39,GUANTES DE CARNAZA.,PAR,EPP,GENERICO,NO,SI,SI,NO
40,CATALIZADOR PARA RA-28.,PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
41,"ABRAZADERA 3/8"" X 1 1/2"" COMPLETA TIPO ""U"".",PIEZA,TORNILLERIA,GENERICO,NO,SI,SI,NO
42,CINTA DE AISLAR 3M.,PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
43,CINTA DE PELIGRO ROJA.,PIEZA,CONSUMIBLE,GENERICO,NO,SI,SI,NO
44,GASOLINA..,LTS,CONSUMIBLE,GENERICO,NO,SI,SI,NO
45,INDICADOR DE PRESION DE ACEITE..,PIEZA,ACCESORIOS,GENERICO,NO,SI,SI,NO
46,"MANGUERA 1 1/2"" X 50"" 3000 PSI EXT. CRIMP. M-M.",PIEZA,HIDRAULICO,GENERICO,NO,SI,SI,NO
