Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
668,MANTENIMIENTO DE CLUTCH DE CAMION.,MTS,REFACCIONES,GENERICO,False,True,True,False
669,ACEITE PARA TRANSMISION MANUAL SAE 30.,LTS,COMBUSTIBLE,GENERICO,False,True,True,False
670,"PLACA CUADRADA 1045 4"" X 4"" X 6 1/4"" LONG..",PIEZA,MAQUINADO,GENERICO,False,True,True,False
671,ROTULA INF. IZQ. GOLF JETTA A4 ZQ.-DER..,PIEZA,MANTTO. AUTOMOTRIZ,GENERICO,False,True,True,False
672,FILTRO DONALSON P167889.,PIEZA,HIDRAULICO,GENERICO,False,True,True,False
673,"BARRA HUECA 1026 | Ø 1 1/4"" INT X Ø 2"" EXT POR 70"" LONG.",PIEZA,MAQUINADO,GENERICO,False,True,True,False
674,"JGO DE CONEXIÓN RAPIDA 1/4"".",KIT,CONSUMIBLE,GENERICO,False,True,True,False
675,"TORNILLO ALLEN 1/4"" X 1 1/4"" AC..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
676,ESPUMA POLIURETANO.,PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
677,"BARRA HUECA 1518 | Ø4 1/4"" X Ø2 3/4"" X 4 3/4"".",PIEZA,MAQUINADO,GENERICO,False,True,True,False
678,BARRA SOLIDA 1045 | Ø 2 1/4 X Ø 19.,PIEZA,MAQUINADO,GENERICO,False,True,True,False
679,BARRA SOLIDA 1045 | Ø 2 1/4 X Ø 14.,PIEZA,MAQUINADO,GENERICO,False,True,True,False
680,AMORTIGUADOR IZQUIERDO PARA AVEO.,PIEZA,REFACCIONES,GENERICO,False,True,True,False
681,AMORTIGUADOR DERECHO PARA AVEO.,PIEZA,REFACCIONES,GENERICO,False,True,True,False
682,"TORNILLO ALLEN 5/8"" X 2"" AC.",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
683,FLEXOMETRO 5 MTS.,PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
684,"PLACA CUADRADA 1/2"" X 50"" X 50"" ",PIEZA,MAQUINADO,GENERICO,False,True,True,False
685,"PLACA 1 1/2"".",KG,ESTRUCTURAL,GENERICO,False,True,True,False
686,"PLACA 1 1/4"".",KG,ESTRUCTURAL,GENERICO,False,True,True,False
687,32GL-32MP..,PIEZA,HIDRAULICO,GENERICO,False,True,True,False
688,"MANGUERA 2 1/2"" X 35"" 150 PSI.",PIEZA,HIDRAULICO,GENERICO,False,True,True,False
689,"ABRAZADERA DE 1 TORNILLO 1/2"".",PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
690,PERFIL PARA PUERTA P100 C-20 6MTS.,PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
691,"PTR 2"" X 1"" C-16.",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
692,"CUADRO MACIZO 1/2"".",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
693,TABLERO 3 X 8 C20.,PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
694,"CHAPA ""INSTALA FACIL"" DERECHA.",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
695,"ENGRASADOR RECTO 1/8"" NPT.",PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
696,BARRA SOLIDA 4340 | Ø 1 1/2 X Ø 8.,PIEZA,MAQUINADO,GENERICO,False,True,True,False
697,"MANGUERA GMV MARCA GATE DE 2"" DIAM. X 50"" DE LARGO.",PIEZA,HIDRAULICO,GENERICO,False,True,True,False
698,16MB-16FPX.,PIEZA,HIDRAULICO,GENERICO,False,True,True,False
699,"MONTEN 3"" CAL. 16.",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
700,"PTR 2"" X 4"" X 1/8"".",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
701,"PTR 1 1/2"" X 1 1/2"" X 1/8"".",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
702,"TORNILLO HEX. 9/16"" X 1 1/2"" GALV..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
703,"PTR 2"" X 2"" X 3/16"" A-36.",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
704,PINZA PORTAELECTRODO 500 AMPS..,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
705,B. UP RING - NBR / BU 10.500 X 12.000 SOLID.,PIEZA,SELLOS,GENERICO,False,True,True,False
706,O'RING - NBR 70 / OR 12.000 X 12.250 X 0.139 (278).,PIEZA,SELLOS,GENERICO,False,True,True,False
707,F-4 11750-12000-250 MAQ. EN TEFLON BRONCE.,PIEZA,SELLOS,GENERICO,False,True,True,False
708,BANDA DE DESGASTE 12.000 X 1.000 X 0.125.,PIEZA,SELLOS,GENERICO,False,True,True,False
709,"BARRA SOLIDA HIERRO COLADO | Ø5"" X 4"" LG.",PIEZA,MAQUINADO,GENERICO,False,True,True,False
710,"PLACA CUADRADA ASTM-36 2"" X 7 1/2 "" X 7 1/2"".",PIEZA,MAQUINADO,GENERICO,False,True,True,False
711,BALERO 4906.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
712,BALERO 22210.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
713,RETEN 50 X 60 X 7 MM.,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
714,"UNIDAD HIDRONEUMATICA COMPACTA SERIE, VDC160940360C1.",EQUIPO ,PRODUCTO TERMINADO,GENERICO,False,True,True,False
715,RESPALDOS PARA ESPEJOS O VAMPIROS .,PIEZA,SELLOS,GENERICO,False,True,True,False
716,"NYLAMID Ø 5"" X 4 1/2""",PIEZA,MAQUINADO,GENERICO,False,True,True,False
717,"NEOPRENO 3/16"" X 1 M.",MTS,CONSUMIBLE,GENERICO,False,True,True,False
718,O'RING LIGA CUERPO.,PIEZA,SELLOS,GENERICO,False,True,True,False
719,"SEAL 1 1/4"" RETEN.",PIEZA,ACCESORIOS,GENERICO,False,True,True,False
720,BANDA B104.,PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
721,"TORNILLO HEX. 1/2"" X 1 1/2"" GALV. GR. 5..",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
722,FAJA ELASTICA EXTRAGRANDE.,PIEZA,EPP,GENERICO,False,True,True,False
723,"TUERCA HEX. 9/16"" AC.",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
724,"TORNILLO HEX. 5/8"" X 2 1/2"" UNH.",PIEZA,TORNILLERIA,GENERICO,False,True,True,False
725,"PLACA 3/16"" ESP. 4 FT X 10 FT (MOTOS).",PIEZA,ESTRUCTURAL,GENERICO,False,True,True,False
726,BALERO 6203.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
727,BALERO 6207.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
728,BALERO 2RS162307-2RS21.,PIEZA,RODAMIENTOS,GENERICO,False,True,True,False
729,LIJA ORBITAL  #320.,PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
730,"CONDULET LB 3/4"".",PIEZA,ELECTRICO,GENERICO,False,True,True,False
731,"CONECTOR PARA CABLE USO RUDO 1/2"".",PIEZA,ELECTRICO,GENERICO,False,True,True,False
732,"REMACHE 1/8"".",PIEZA,CONSUMIBLE,GENERICO,False,True,True,False
733,"ROTULO DE ""DEPOSITO DE ACEITE"" SC.",PIEZA,ACCESORIOS,GENERICO,False,True,True,False
734,LOGO DE VORDCAB 14*32 SC.,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
735,"ROTULO DE ""CARGA MAXIMA 50,000 LBS"" EVIC.",PIEZA,ACCESORIOS,GENERICO,False,True,True,False
