Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
6243,"BARRA SOLIDA DE ALUMINIO 1 1/2"".",IN,MAQUINADO,GENERICO,False,True,True,False
6244,"CILINDRO DOBLE 3.5"" X 5"" X 144"" VDC 16 002 01 101 C1.",PIEZA,PRODUCTO TERMINADO,GENERICO,False,True,True,False
6245,"CUADRADO TUBULAR  1 1/2"".",PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6246,CERRADURA EMBUTIR BRUNEI CERROJO DO.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6247,JUEGO DE BALATAS DELANTERAS.,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
6248,BALERO 69349-10.,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
6249,"ABRAZADERA REFORZADA 2"".",PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6250,FILTRO ACEITE BALDWIN B7322.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6251,ACEITE MEXICANA LUB 50CF 19 LT.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6252,"ABRAZADERA REFORZADA SOLERA 1 1/2"" BASE MODULAR MARIPOSA 4/7.",PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6253,BASE MODULAR MARIPOSA 4/7.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6254,SUPER FOGGER 2 SALIDASA X 6.5LPH.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6255,PICHANCHA CON REJILLAS DE LATON.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6256,"MANGUERA AMARILLA ALTA PRESION 1/4"" AIR.",PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6257,CHUCK COPLE RAPIDO .,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6258,CONEXIÓN ESPIGA MACHO.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6259,"ABRAZADERA MM4 MICRO 1/4"" .",PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6260,CONEXIÓN NIPLE ESPIGA COPLE AIRE.,PIEZA,HERRAMIENTA,GENERICO,False,True,True,False
6261,EMPAQUE DE MOFLE BRONCE .,PIEZA,ACCESORIOS,GENERICO,False,True,True,False
