Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
10430,CONTROLADOR DE MOTOR PASO A PASO TB6600 4A 9-42V,PIEZA,ELECTRICO,,NO,SI,NO,NO
10431,VALVULA BYPASS SUN HYDRAULICS RPKCLAN TRQ 350-375 LBF FT/474-508 NM,PIEZA,HIDRAULICO,,NO,SI,NO,NO
10432,VALVULA DE CARTUCHO EATON VICKERS CVCS 25 N 20,PIEZA,HIDRAULICO,,NO,SI,NO,NO
10433,VALVULA DE CARTUCHO EATON VICKERS CVCS D3 20,PIEZA,HIDRAULICO,,NO,SI,NO,NO
10434,VALVULA EATON VICKERS CVI 25 R20 H 50,PIEZA,HIDRAULICO,,NO,SI,NO,NO
10435,VALVULA CARTUCHO  SUN HYDRAULICS TRQ 30-35 LBF FT/41-47 NM,PIEZA,HIDRAULICO,,NO,SI,NO,NO
10436,VALVULA BYPASS SUN HYDRAULICS CBCALAN TRQ 30-35 LBF FT/41-47 NM,PIEZA,HIDRAULICO,,NO,SI,NO,NO
10437,VALVULA BYPASS SUN HYDRAULICS RDFALAN TRQ 45-50 LBF FT/61-68 NM ,PIEZA,HIDRAULICO,,NO,SI,NO,NO
10438,"VALVULA CONTRABALANCE SUN HYDRAULICS 3/8""",PIEZA,HIDRAULICO,,NO,SI,NO,NO
10439,"CORTADOR CLEVELAND TIPO WOODRUFF 1 X 3/16""",PIEZA,CONSUMIBLE,,NO,SI,NO,NO
10440,"RONDANA DE PRESION 9/16"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10441,"TUERCA HEX 5/16"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10442,"TUERCA HEX 3/8"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10443,"TAQUETE EXPANSIVO 1"" X 6""",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10444,"TORNILLO HEX 3/8""X 1 1/2"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10445,"TENSOR 1/4"" X 4""",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10446,"ARANDELA PLANA 1/4"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10447,"ARANDELA PLANA 3/16"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10448,"TORNILL HEX 1 1/2"" X 4"" GRADO 5 AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10449,"TORNILLO HEX ROSCA FINA 1"" X 5"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10450,"TORNILLO 7/8"" X 2"" AC GRADO 5",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10451,"TORNILLO HEX 3/4"" X 2 1/2"" GR 5 AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10452,"TORNILLO ALLEN 5/8"" X 2"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10453,"TORNILLO HEX 3/4"" X 2 1/2""GALV GR 5",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10454,"TORNILLO HEX 7/8"" X 4"" GALV GR 5",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10455,"TORNILLO HEX 1 1/8"" X 4"" ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10456,"TUERCA HEX AC 1 1/4""",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10457,"TUERCA HEX 1"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10458,"PERRO GALVANIZADO 3/4"" ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10459,"TUERCA HEXAGONAL 1"" AC ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10460,"RONDANA DE PRESION 1 3/4"" GALV",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10461,"RONDANA DE PRESION 1 7/8""GALV",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10462,"RONDANA DE PRESION 2"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10463,"ARANDELA PALAN 2"" GALV ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10464,"ARANDELA PLANA 1 1/2"" GALV",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10465,"TUERCA HEX 9/16"" AC",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10466,"TORNILLO HEX 1 1/8"" X 6"" ",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10467,"TORNILLO HEX 5/16"" X 1/2""",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10468,"TORNILLO HEX. 5/16"" X 1"" G5",PIEZA,TORNILLERIA,,NO,SI,NO,NO
10469,MOTOR PARA VENTILADOR,PIEZA,ACCESORIO,,NO,SI,NO,NO
10470,BOTE MESCLADOR TRUPER 1L,PIEZA,ACCESORIO,,NO,SI,NO,NO
10471,ACEITERA CON APLICADOR FLEXIBLE TRUPER,PIEZA,ACCESORIO,,NO,SI,NO,NO
10472,FILTRO DE GASOLINA GG-183,PIEZA,ACCESORIO,,NO,SI,NO,NO
10473,MOTOR LIMPIA PARABRISAS,PIEZA,ACCESORIO,,NO,SI,NO,NO
10474,FILTRO PARA ACEITE GONHER,PIEZA,ACCESORIO,,NO,SI,NO,NO
