Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
718,"REFACCIONES BOMBA TRIPLEX (VALVE SEAT, DISCHARGE SPRING, VALVE W/YELLOW INSERT)",PIEZA,ACCESORIOS,,NO,SI,NO,NO
719,INSERTO DE VÁLVULA TRIPLEX,PIEZA,ACCESORIOS,,NO,SI,NO,NO
720,TOOL TRAP ASSEMBLY,PIEZA,ACCESORIOS,,NO,SI,NO,NO
722,Varilla Frontier np300 SYD1216001,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
723,Balatas FD Del Nissan RAY-7228D333DG,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
724,Cilindro Rueda Nissan LUS-LC37684,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
725,Horquilla Inf. Der Nissan CB69173,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
726,Horquilla in.r Izq Nissan CB69174,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
727,Juego de tapones de monoblock Motor,KIT,AUTOMOTRIZ,,NO,SI,NO,NO
728,Reten Cola de caja de velocidades,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
729,Buje SYD 2203,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
732,Goma de rebote Chica,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
733,Tornillo tensor Barra torsión,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
734,Manguera en U,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
735,Juego de carbones para marcha,KIT,AUTOMOTRIZ,,NO,SI,NO,NO
736,Juego de Bujes para Marcha,KIT,AUTOMOTRIZ,,NO,SI,NO,NO
738,"Abrazaderas para manguera 5/8""",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
739,Manguera para toma de Agua (medio metro) (Foto),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
740,Abrazaderas para manguera toma de agua,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
741,Tubo negro complemento Toma de agua (foto),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO
742,Juego de focos delanteros ( foco doble filamento- cuarto- direccional),KIT,AUTOMOTRIZ,,NO,SI,NO,NO
