Código (producto),Distrito,Almacén,Ubicación,Estante,Cantidad,Precio,Minimo,Comentario
10141,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10142,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10143,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10144,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10145,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10146,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10147,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10148,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10149,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10150,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10151,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10152,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10153,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10154,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10155,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10156,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10157,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10158,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10159,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10160,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10161,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10162,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10163,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10164,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10165,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10166,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10167,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10168,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10169,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10171,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10172,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10173,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10174,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10175,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10176,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10177,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10178,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10179,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10180,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10181,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10182,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10183,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10184,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10185,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10186,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10187,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10188,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10189,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10190,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10191,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
10192,Planta Veracruz,Petroleras,NA,NA,0,0,0,NA
